ID,Title,Created By
C146524,Verify that there is a meatball menu in action column of main template page,Ali Hashmi
C146525,Verify that meatball menu appears in the end of all rows,Ali Hashmi
C146526,Verify that if click on meatball menu list of 4 actions are shown,Ali Hashmi
C146527,"Verify that 4 actions are schedule, edit, clone, delete in same sequence",Ali Hashmi
C146534,Verify that 'delete' action is of red colour,Ali Hashmi
C146529,Verify that IDs column on main template page has been removed,Ali Hashmi
C146530,Verify that there are now 4 columns on main template page,Ali Hashmi
C146531,"Verify that 4 columns are Name, Labels, Description and Actions in same sequence",Ali Hashmi
C146535,Verify that 'schedule' action now performs action of 'use template',Ali Hashmi
C146528,"Verify that UI and functionality of meatball menu and listing of actions are working properly on different browsers (chrome, safari, firefox etc) and on different screen sizes",Ali Hashmi
C146813,Verify that meatball menu in action column of template page now also contains 5th action 'Send Now',Ali Hashmi
C146814,Verify that if there is profile selection validation error in template then popup will appear on clicking 'Send Now' action. See attached image,Ali Hashmi
C146815,Verify that popup has two options 'Edit' and 'Cancel',Ali Hashmi
C146816,Verify that 'Edit' option takes user to edit template page,Ali Hashmi
C146817,Verify that popup disappears if click on 'Cancel' option,Ali Hashmi
C146818,Verify that if there is no profile selection validation error then 'Validating template' popup appears for a moment after click on 'Send Now' option,Ali Hashmi
C146819,"Verify that after validating """"Send Now' option opens a modal which show message summary",Ali Hashmi
C146820,"Verify that message summary shows template name on the top, location, description, recipients (groups and profiles), voice content, Email content with sender's details and text message content",Ali Hashmi
C146830,Verify that summary modal also shows warning message for empty community name merge field,Ali Hashmi
C146904,Verify that voice recording in voice message is also shown in summary,Ali Hashmi
C146905,Verify that attachment(s) name in email is shown in summary and view is not distorted when more attachments are added,Ali Hashmi
C147100,Verify that labels are not shown in summary modal,Ali Hashmi
C147290,Verify that in summary modal message recipients have separate scroll,Ali Hashmi
C147292,Verify that groups and profiles have separate scrolls,Ali Hashmi
C147291,Verify that groups and profiles scroll are working fine when there are many groups or profiles,Ali Hashmi
C147103,Verify that if location and description are null then their headings are not shown,Ali Hashmi
C146832,Verify that scroll is working fine for summary modal if summary has more content,Ali Hashmi
C147101,"Verify that long template name, long description, long recipient list do not affect UI of summary modal",Ali Hashmi
C146821,Verify that message summary modal has two buttons: Send button with down arrow and cancel button,Ali Hashmi
C146822,Verify that if click on cancel button summary modal disappears,Ali Hashmi
C146823,Verify that if click on down arrow of Send button 'Send as Emergency' option appears in red font,Ali Hashmi
C146824,Verify that a modal appears when click on 'Send as Emergency'. See attached image for detail,Ali Hashmi
C146825,Verify that modal has two options 'Yes' and 'Cancel',Ali Hashmi
C146826,Verify that if click on 'Cancel' a modal disappears,Ali Hashmi
C146827,Verify that if click on 'Yes' button template (all channels) is delivered successfully in emergency mode,Ali Hashmi
C146828,Verify that if click on 'Send' button of summary modal then template is sent immediately without the need of scheduling,Ali Hashmi
C146829,"Verify that """"Event successfully scheduled....."""" popup on top right is appearing for both 'Send Now' and 'Send as Emergency'",Ali Hashmi
C146903,Verify that events sent are also appearing on calendar (both Send Now and Send as emergency),Ali Hashmi
C146831,"Verify that Send Now option, message summary and all popups and modal are working fine for different screen sizes and for different browsers (chrome, safari, firefox)",Ali Hashmi
C147062,Verify that if screen size is decreased or increased labels are adjusted in their respective column accordingly,Ali Hashmi
C147063,Verify that if screen size is increased or decreased description text is adjusted accordingly,Ali Hashmi
C147064,Verify that Names of templates are adjusted successfully if screen size changes,Ali Hashmi
C147065,Verify that Action column is not distorted by changing screen size,Ali Hashmi
C147066,Verify that when all labels are adjusted by decreasing screen size then label count is not shown,Ali Hashmi
C147067,Verify that when screen size is increased then label count is shown if any label is hidden,Ali Hashmi
C147068,Verify that decrease or increase in screen size doesn’t affect UI even when search is applied,Ali Hashmi
C150404,Verify that same send options button and dropdown options are working fine for editing and cloning drafts,Ali Hashmi
C147069,"Verify that decrease or increase in screen size doesn’t affect UI in different browsers (chrome, Safari, firefox)",Ali Hashmi
C141912,Verify that user can add a new template by clicking on 'Add New Template' Button,Mahnoor Fatima
C141913,Verify that on clicking Add Template button a new view is opened up with three main sections,Mahnoor Fatima
C141914,Verify that first section name is 'General Info',Mahnoor Fatima
C141915,Verify that there is a mandatory field with label 'Name',Mahnoor Fatima
C141916,Verify that user is not allowed to move to next step without filling Name field,Mahnoor Fatima
C141917,Verify that there is an optional field with label 'Description',Mahnoor Fatima
C141918,Verify that there is an optional field with label 'Location',Mahnoor Fatima
C141919,Verify that after filling required fields user can click on 'Next Step' button to move to second section,Mahnoor Fatima
C141920,Verify that second section is 'Distribution List',Mahnoor Fatima
C141921,Verify that there is a list of all Profiles and Groups in the facility,Mahnoor Fatima
C141922,"Verify that Profiles list contains user names of all seniors, family members and staff in the facility",Mahnoor Fatima
C141923,Verify that only active users are displayed in Profiles list,Mahnoor Fatima
C141924,Verify that user can select a profile by clicking on checkbox next to it,Mahnoor Fatima
C141925,Verify that user can select all profiles by clicking on checkbox next to Profiles section,Mahnoor Fatima
C141926,Verify that user can apply filter by clicking on filter icon next to Profiles,Mahnoor Fatima
C141927,Verify that user can filter profiles based on groups and profile types(seniors/family/staff),Mahnoor Fatima
C141933,Verify that user can also apply filter based of full name of any user,Mahnoor Fatima
C141928,Verify that 'Categories and Groups' contains the list of all existing Categories and Groups in the facility,Mahnoor Fatima
C141929,Verify that user can select a category or a group by clicking on checkbox next to it,Mahnoor Fatima
C141931,Verify that user can apply filter by clicking on filter icon next to Categories and Groups,Mahnoor Fatima
C141932,Verify that user can apply filter based on name of category or a group,Mahnoor Fatima
C141934,Verify that selected users and groups will show up under Message Recipients section,Mahnoor Fatima
C141935,Verify that user can move to section three without selecting any profile or a group,Mahnoor Fatima
C141936,Verify that third section is 'Select Content',Mahnoor Fatima
C141937,Verify that user can successfully add Voice Content,Mahnoor Fatima
C141938,Verify that user can successfully add Text Message Content,Mahnoor Fatima
C141939,Verify that user can successfully add Email Content,Mahnoor Fatima
C141940,Verify that user can successfully Save Template after adding complete info,Mahnoor Fatima
C143722,Verify that user can successfully Save & Schedule Template after adding complete info,Mahnoor Fatima
C144443,"Verify that new merge field of """"community name"""" has been added on all channels (SMS, voice, email).",Ali Hashmi
